area,reg,categoria_prevalente,totale_popolazione
ABR,Abruzzo,12-19,194
ABR,Abruzzo,20-29,725
ABR,Abruzzo,30-39,1492
ABR,Abruzzo,40-49,2644
ABR,Abruzzo,50-59,6221
ABR,Abruzzo,60-69,22096
ABR,Abruzzo,70-79,31143
ABR,Abruzzo,80+,34987
BAS,Basilicata,12-19,74
BAS,Basilicata,20-29,304
BAS,Basilicata,30-39,502
BAS,Basilicata,40-49,987
BAS,Basilicata,50-59,2251
BAS,Basilicata,60-69,8450
BAS,Basilicata,70-79,10430
BAS,Basilicata,80+,11147
CAL,Calabria,12-19,139
CAL,Calabria,20-29,752
CAL,Calabria,30-39,1221
CAL,Calabria,40-49,2174
CAL,Calabria,50-59,4984
CAL,Calabria,60-69,19678
CAL,Calabria,70-79,27404
CAL,Calabria,80+,27912
CAM,Campania,12-19,379
CAM,Campania,20-29,1918
CAM,Campania,30-39,3472
CAM,Campania,40-49,6099
CAM,Campania,50-59,14822
CAM,Campania,60-69,68735
CAM,Campania,70-79,87385
CAM,Campania,80+,78458
EMR,Emilia-Romagna,12-19,2997
EMR,Emilia-Romagna,20-29,9055
EMR,Emilia-Romagna,30-39,14632
EMR,Emilia-Romagna,40-49,26373
EMR,Emilia-Romagna,50-59,57861
EMR,Emilia-Romagna,60-69,155336
EMR,Emilia-Romagna,70-79,196120
EMR,Emilia-Romagna,80+,217674
FVG,Friuli-Venezia Giulia,12-19,503
FVG,Friuli-Venezia Giulia,20-29,1617
FVG,Friuli-Venezia Giulia,30-39,2537
FVG,Friuli-Venezia Giulia,40-49,4623
FVG,Friuli-Venezia Giulia,50-59,10142
FVG,Friuli-Venezia Giulia,60-69,26254
FVG,Friuli-Venezia Giulia,70-79,38261
FVG,Friuli-Venezia Giulia,80+,43243
LAZ,Lazio,12-19,1898
LAZ,Lazio,20-29,6569
LAZ,Lazio,30-39,11015
LAZ,Lazio,40-49,19652
LAZ,Lazio,50-59,39713
LAZ,Lazio,60-69,126346
LAZ,Lazio,70-79,158296
LAZ,Lazio,80+,174873
LIG,Liguria,12-19,495
LIG,Liguria,20-29,1453
LIG,Liguria,30-39,2756
LIG,Liguria,40-49,5367
LIG,Liguria,50-59,13120
LIG,Liguria,60-69,38610
LIG,Liguria,70-79,55984
LIG,Liguria,80+,67450
LOM,Lombardia,12-19,10681
LOM,Lombardia,20-29,28844
LOM,Lombardia,30-39,47005
LOM,Lombardia,40-49,72281
LOM,Lombardia,50-59,127432
LOM,Lombardia,60-69,308728
LOM,Lombardia,70-79,374449
LOM,Lombardia,80+,401366
MAR,Marche,12-19,290
MAR,Marche,20-29,1108
MAR,Marche,30-39,1893
MAR,Marche,40-49,3551
MAR,Marche,50-59,8003
MAR,Marche,60-69,26736
MAR,Marche,70-79,37108
MAR,Marche,80+,43681
MOL,Molise,12-19,56
MOL,Molise,20-29,246
MOL,Molise,30-39,437
MOL,Molise,40-49,704
MOL,Molise,50-59,1616
MOL,Molise,60-69,5893
MOL,Molise,70-79,7341
MOL,Molise,80+,9488
PAB,P.A. Bolzano,12-19,184
PAB,P.A. Bolzano,20-29,563
PAB,P.A. Bolzano,30-39,1046
PAB,P.A. Bolzano,40-49,1919
PAB,P.A. Bolzano,50-59,3849
PAB,P.A. Bolzano,60-69,9157
PAB,P.A. Bolzano,70-79,11703
PAB,P.A. Bolzano,80+,12409
PAT,P.A. Trento,12-19,326
PAT,P.A. Trento,20-29,1075
PAT,P.A. Trento,30-39,1767
PAT,P.A. Trento,40-49,2562
PAT,P.A. Trento,50-59,4996
PAT,P.A. Trento,60-69,14020
PAT,P.A. Trento,70-79,18558
PAT,P.A. Trento,80+,18500
PIE,Piemonte,12-19,2879
PIE,Piemonte,20-29,9668
PIE,Piemonte,30-39,14373
PIE,Piemonte,40-49,25777
PIE,Piemonte,50-59,54837
PIE,Piemonte,60-69,166523
PIE,Piemonte,70-79,204409
PIE,Piemonte,80+,242994
PUG,Puglia,12-19,831
PUG,Puglia,20-29,4119
PUG,Puglia,30-39,6106
PUG,Puglia,40-49,10075
PUG,Puglia,50-59,21942
PUG,Puglia,60-69,73874
PUG,Puglia,70-79,99507
PUG,Puglia,80+,96357
SAR,Sardegna,12-19,378
SAR,Sardegna,20-29,1437
SAR,Sardegna,30-39,2835
SAR,Sardegna,40-49,5177
SAR,Sardegna,50-59,9993
SAR,Sardegna,60-69,33250
SAR,Sardegna,70-79,41995
SAR,Sardegna,80+,32630
SIC,Sicilia,12-19,528
SIC,Sicilia,20-29,2182
SIC,Sicilia,30-39,3916
SIC,Sicilia,40-49,6406
SIC,Sicilia,50-59,14504
SIC,Sicilia,60-69,53905
SIC,Sicilia,70-79,70234
SIC,Sicilia,80+,71188
TOS,Toscana,12-19,2919
TOS,Toscana,20-29,8498
TOS,Toscana,30-39,13705
TOS,Toscana,40-49,22876
TOS,Toscana,50-59,46451
TOS,Toscana,60-69,108534
TOS,Toscana,70-79,158754
TOS,Toscana,80+,175178
UMB,Umbria,12-19,173
UMB,Umbria,20-29,705
UMB,Umbria,30-39,1226
UMB,Umbria,40-49,2237
UMB,Umbria,50-59,5118
UMB,Umbria,60-69,17788
UMB,Umbria,70-79,25654
UMB,Umbria,80+,28510
VDA,Valle d'Aosta,12-19,57
VDA,Valle d'Aosta,20-29,172
VDA,Valle d'Aosta,30-39,287
VDA,Valle d'Aosta,40-49,518
VDA,Valle d'Aosta,50-59,1304
VDA,Valle d'Aosta,60-69,3234
VDA,Valle d'Aosta,70-79,4397
VDA,Valle d'Aosta,80+,4174
VEN,Veneto,12-19,2106
VEN,Veneto,20-29,7750
VEN,Veneto,30-39,11896
VEN,Veneto,40-49,18674
VEN,Veneto,50-59,38657
VEN,Veneto,60-69,110365
VEN,Veneto,70-79,135052
VEN,Veneto,80+,154297
