area,reg,categoria_prevalente,totale_popolazione
ABR,Abruzzo,05-11,25599
ABR,Abruzzo,12-19,75852
ABR,Abruzzo,20-29,112908
ABR,Abruzzo,30-39,122281
ABR,Abruzzo,40-49,156104
ABR,Abruzzo,50-59,183659
ABR,Abruzzo,60-69,158887
ABR,Abruzzo,70-79,127155
ABR,Abruzzo,80-89,98078
BAS,Basilicata,05-11,13123
BAS,Basilicata,12-19,34110
BAS,Basilicata,20-29,47578
BAS,Basilicata,30-39,50607
BAS,Basilicata,40-49,64489
BAS,Basilicata,50-59,78263
BAS,Basilicata,60-69,69973
BAS,Basilicata,70-79,50403
BAS,Basilicata,80-89,41383
CAL,Calabria,05-11,46989
CAL,Calabria,12-19,113235
CAL,Calabria,20-29,166786
CAL,Calabria,30-39,180342
CAL,Calabria,40-49,214758
CAL,Calabria,50-59,244264
CAL,Calabria,60-69,220529
CAL,Calabria,70-79,163837
CAL,Calabria,80-89,114205
CAM,Campania,05-11,118966
CAM,Campania,12-19,379486
CAM,Campania,20-29,570453
CAM,Campania,30-39,583623
CAM,Campania,40-49,695807
CAM,Campania,50-59,777437
CAM,Campania,60-69,627353
CAM,Campania,70-79,455583
CAM,Campania,80-89,278472
EMR,Emilia-Romagna,05-11,93108
EMR,Emilia-Romagna,12-19,266966
EMR,Emilia-Romagna,20-29,399954
EMR,Emilia-Romagna,30-39,435831
EMR,Emilia-Romagna,40-49,571344
EMR,Emilia-Romagna,50-59,654822
EMR,Emilia-Romagna,60-69,520862
EMR,Emilia-Romagna,70-79,435962
EMR,Emilia-Romagna,80-89,367983
FVG,Friuli-Venezia Giulia,05-11,16661
FVG,Friuli-Venezia Giulia,12-19,63091
FVG,Friuli-Venezia Giulia,20-29,101745
FVG,Friuli-Venezia Giulia,30-39,104618
FVG,Friuli-Venezia Giulia,40-49,138355
FVG,Friuli-Venezia Giulia,50-59,166950
FVG,Friuli-Venezia Giulia,60-69,145022
FVG,Friuli-Venezia Giulia,70-79,129976
FVG,Friuli-Venezia Giulia,80-89,103317
LAZ,Lazio,05-11,136720
LAZ,Lazio,12-19,352090
LAZ,Lazio,20-29,518005
LAZ,Lazio,30-39,598527
LAZ,Lazio,40-49,774229
LAZ,Lazio,50-59,866504
LAZ,Lazio,60-69,674865
LAZ,Lazio,70-79,525625
LAZ,Lazio,80-89,404773
LIG,Liguria,05-11,21941
LIG,Liguria,12-19,79761
LIG,Liguria,20-29,125841
LIG,Liguria,30-39,127780
LIG,Liguria,40-49,168629
LIG,Liguria,50-59,220887
LIG,Liguria,60-69,182165
LIG,Liguria,70-79,165739
LIG,Liguria,80-89,149941
LOM,Lombardia,05-11,259422
LOM,Lombardia,12-19,654390
LOM,Lombardia,20-29,944884
LOM,Lombardia,30-39,1038516
LOM,Lombardia,40-49,1311581
LOM,Lombardia,50-59,1508351
LOM,Lombardia,60-69,1143492
LOM,Lombardia,70-79,941917
LOM,Lombardia,80-89,739634
MAR,Marche,05-11,17322
MAR,Marche,12-19,84873
MAR,Marche,20-29,126238
MAR,Marche,30-39,133905
MAR,Marche,40-49,179409
MAR,Marche,50-59,205420
MAR,Marche,60-69,181146
MAR,Marche,70-79,150269
MAR,Marche,80-89,128176
MOL,Molise,05-11,7326
MOL,Molise,12-19,17328
MOL,Molise,20-29,25371
MOL,Molise,30-39,26860
MOL,Molise,40-49,35622
MOL,Molise,50-59,43348
MOL,Molise,60-69,39110
MOL,Molise,70-79,29985
MOL,Molise,80-89,25130
PAB,P.A. Bolzano,05-11,7202
PAB,P.A. Bolzano,12-19,32963
PAB,P.A. Bolzano,20-29,51263
PAB,P.A. Bolzano,30-39,52029
PAB,P.A. Bolzano,40-49,61220
PAB,P.A. Bolzano,50-59,72581
PAB,P.A. Bolzano,60-69,53090
PAB,P.A. Bolzano,70-79,41748
PAB,P.A. Bolzano,80-89,32543
PAT,P.A. Trento,05-11,12194
PAT,P.A. Trento,12-19,35068
PAT,P.A. Trento,20-29,54164
PAT,P.A. Trento,30-39,52444
PAT,P.A. Trento,40-49,63511
PAT,P.A. Trento,50-59,75623
PAT,P.A. Trento,60-69,62297
PAT,P.A. Trento,70-79,50015
PAT,P.A. Trento,80-89,38691
PIE,Piemonte,05-11,73315
PIE,Piemonte,12-19,240563
PIE,Piemonte,20-29,370121
PIE,Piemonte,30-39,383368
PIE,Piemonte,40-49,502369
PIE,Piemonte,50-59,608871
PIE,Piemonte,60-69,511819
PIE,Piemonte,70-79,445574
PIE,Piemonte,80-89,365113
PUG,Puglia,05-11,118740
PUG,Puglia,12-19,268212
PUG,Puglia,20-29,372827
PUG,Puglia,30-39,391305
PUG,Puglia,40-49,508293
PUG,Puglia,50-59,565798
PUG,Puglia,60-69,479888
PUG,Puglia,70-79,387286
PUG,Puglia,80-89,267423
SAR,Sardegna,05-11,34987
SAR,Sardegna,12-19,92546
SAR,Sardegna,20-29,126414
SAR,Sardegna,30-39,148567
SAR,Sardegna,40-49,207001
SAR,Sardegna,50-59,236444
SAR,Sardegna,60-69,208620
SAR,Sardegna,70-79,163298
SAR,Sardegna,80-89,113041
SIC,Sicilia,05-11,83989
SIC,Sicilia,12-19,294048
SIC,Sicilia,20-29,434403
SIC,Sicilia,30-39,457559
SIC,Sicilia,40-49,560422
SIC,Sicilia,50-59,633652
SIC,Sicilia,60-69,543283
SIC,Sicilia,70-79,415640
SIC,Sicilia,80-89,282087
TOS,Toscana,05-11,83047
TOS,Toscana,12-19,223231
TOS,Toscana,20-29,319668
TOS,Toscana,30-39,356140
TOS,Toscana,40-49,475027
TOS,Toscana,50-59,545766
TOS,Toscana,60-69,444968
TOS,Toscana,70-79,393494
TOS,Toscana,80-89,325643
UMB,Umbria,05-11,17936
UMB,Umbria,12-19,50450
UMB,Umbria,20-29,70174
UMB,Umbria,30-39,79585
UMB,Umbria,40-49,108199
UMB,Umbria,50-59,125267
UMB,Umbria,60-69,108975
UMB,Umbria,70-79,95895
UMB,Umbria,80-89,80506
VDA,Valle d'Aosta,05-11,1840
VDA,Valle d'Aosta,12-19,7200
VDA,Valle d'Aosta,20-29,10200
VDA,Valle d'Aosta,30-39,10524
VDA,Valle d'Aosta,40-49,13877
VDA,Valle d'Aosta,50-59,17868
VDA,Valle d'Aosta,60-69,14363
VDA,Valle d'Aosta,70-79,12575
VDA,Valle d'Aosta,80-89,10155
VEN,Veneto,05-11,97636
VEN,Veneto,12-19,293551
VEN,Veneto,20-29,432774
VEN,Veneto,30-39,444023
VEN,Veneto,40-49,592878
VEN,Veneto,50-59,707448
VEN,Veneto,60-69,567929
VEN,Veneto,70-79,470684
VEN,Veneto,80-89,364437
