area,nome_area,categoria_prevalente,totale_popolazione
ABR,Abruzzo,60-69,4037
ABR,Abruzzo,70-79,3735
ABR,Abruzzo,Operatori Sanitari e Sociosanitari,31787
ABR,Abruzzo,Ospiti Strutture Residenziali,4927
ABR,Abruzzo,Over 80,65647
BAS,Basilicata,60-69,1456
BAS,Basilicata,70-79,490
BAS,Basilicata,Operatori Sanitari e Sociosanitari,11967
BAS,Basilicata,Ospiti Strutture Residenziali,2330
BAS,Basilicata,Over 80,34781
CAL,Calabria,60-69,6790
CAL,Calabria,70-79,5433
CAL,Calabria,Operatori Sanitari e Sociosanitari,43352
CAL,Calabria,Ospiti Strutture Residenziali,12442
CAL,Calabria,Over 80,58131
CAM,Campania,60-69,20327
CAM,Campania,70-79,36974
CAM,Campania,Operatori Sanitari e Sociosanitari,95145
CAM,Campania,Ospiti Strutture Residenziali,7809
CAM,Campania,Over 80,182638
EMR,Emilia-Romagna,60-69,11979
EMR,Emilia-Romagna,70-79,22761
EMR,Emilia-Romagna,Operatori Sanitari e Sociosanitari,132855
EMR,Emilia-Romagna,Ospiti Strutture Residenziali,25676
EMR,Emilia-Romagna,Over 80,259484
FVG,Friuli-Venezia Giulia,60-69,2570
FVG,Friuli-Venezia Giulia,70-79,2252
FVG,Friuli-Venezia Giulia,Operatori Sanitari e Sociosanitari,35671
FVG,Friuli-Venezia Giulia,Ospiti Strutture Residenziali,9148
FVG,Friuli-Venezia Giulia,Over 80,58744
LAZ,Lazio,60-69,27845
LAZ,Lazio,70-79,88512
LAZ,Lazio,Operatori Sanitari e Sociosanitari,138514
LAZ,Lazio,Ospiti Strutture Residenziali,21411
LAZ,Lazio,Over 80,276753
LIG,Liguria,60-69,9144
LIG,Liguria,70-79,19986
LIG,Liguria,Operatori Sanitari e Sociosanitari,43551
LIG,Liguria,Ospiti Strutture Residenziali,11237
LIG,Liguria,Over 80,86033
LOM,Lombardia,60-69,33384
LOM,Lombardia,70-79,34371
LOM,Lombardia,Operatori Sanitari e Sociosanitari,252847
LOM,Lombardia,Ospiti Strutture Residenziali,66428
LOM,Lombardia,Over 80,516540
MAR,Marche,60-69,5700
MAR,Marche,70-79,8767
MAR,Marche,Operatori Sanitari e Sociosanitari,37665
MAR,Marche,Ospiti Strutture Residenziali,6285
MAR,Marche,Over 80,67096
MOL,Molise,60-69,669
MOL,Molise,70-79,410
MOL,Molise,Operatori Sanitari e Sociosanitari,7052
MOL,Molise,Ospiti Strutture Residenziali,2624
MOL,Molise,Over 80,17984
PAB,P.A. Bolzano,60-69,2370
PAB,P.A. Bolzano,70-79,4451
PAB,P.A. Bolzano,Operatori Sanitari e Sociosanitari,13199
PAB,P.A. Bolzano,Ospiti Strutture Residenziali,3986
PAB,P.A. Bolzano,Over 80,22201
PAT,P.A. Trento,60-69,1578
PAT,P.A. Trento,70-79,3533
PAT,P.A. Trento,Operatori Sanitari e Sociosanitari,14994
PAT,P.A. Trento,Ospiti Strutture Residenziali,4220
PAT,P.A. Trento,Over 80,22339
PIE,Piemonte,60-69,10932
PIE,Piemonte,70-79,8297
PIE,Piemonte,Operatori Sanitari e Sociosanitari,133278
PIE,Piemonte,Ospiti Strutture Residenziali,31944
PIE,Piemonte,Over 80,243515
PUG,Puglia,60-69,9654
PUG,Puglia,70-79,10235
PUG,Puglia,Operatori Sanitari e Sociosanitari,113230
PUG,Puglia,Ospiti Strutture Residenziali,13871
PUG,Puglia,Over 80,158816
SAR,Sardegna,60-69,5438
SAR,Sardegna,70-79,7734
SAR,Sardegna,Operatori Sanitari e Sociosanitari,41571
SAR,Sardegna,Ospiti Strutture Residenziali,8844
SAR,Sardegna,Over 80,66235
SIC,Sicilia,60-69,10723
SIC,Sicilia,70-79,8880
SIC,Sicilia,Operatori Sanitari e Sociosanitari,115158
SIC,Sicilia,Ospiti Strutture Residenziali,23052
SIC,Sicilia,Over 80,128108
TOS,Toscana,60-69,5122
TOS,Toscana,70-79,14565
TOS,Toscana,Operatori Sanitari e Sociosanitari,120749
TOS,Toscana,Ospiti Strutture Residenziali,19189
TOS,Toscana,Over 80,210108
UMB,Umbria,60-69,788
UMB,Umbria,70-79,421
UMB,Umbria,Operatori Sanitari e Sociosanitari,22927
UMB,Umbria,Ospiti Strutture Residenziali,5095
UMB,Umbria,Over 80,51424
VDA,Valle d'Aosta,60-69,954
VDA,Valle d'Aosta,70-79,1695
VDA,Valle d'Aosta,Operatori Sanitari e Sociosanitari,3223
VDA,Valle d'Aosta,Ospiti Strutture Residenziali,736
VDA,Valle d'Aosta,Over 80,5176
VEN,Veneto,60-69,17419
VEN,Veneto,70-79,41264
VEN,Veneto,Operatori Sanitari e Sociosanitari,132269
VEN,Veneto,Ospiti Strutture Residenziali,40790
VEN,Veneto,Over 80,222684
