area,denominazione_struttura,tipologia,N1,N2,ISTAT,reg
ABR,ANESIS S.R.L.,RIA,ITF,ITF1,13,Abruzzo
ABR,ASS. FOCOLARE MARIA REGINA ONU,RIA,ITF,ITF1,13,Abruzzo
ABR,CDC S.CAMILLA-C.RIA.VILLA PINI,RIA,ITF,ITF1,13,Abruzzo
ABR,CENTO RIABILITAZIONE S.AGNESE,RIA,ITF,ITF1,13,Abruzzo
ABR,CENTRO EX ART 26 PIZZOLI,RIA,ITF,ITF1,13,Abruzzo
ABR,CENTRO FISIOT.RIAB.MEDICAL MAR,RIA,ITF,ITF1,13,Abruzzo
ABR,CENTRO MEDISALUS S.R.L.,RIA,ITF,ITF1,13,Abruzzo
ABR,CENTRO RIAB COLLEMAGGIO,RIA,ITF,ITF1,13,Abruzzo
ABR,CENTRO RIAB DSBAQ SAN DEMETRIO,RIA,ITF,ITF1,13,Abruzzo
ABR,CENTRO RIAB VILLA DOROTEA,RIA,ITF,ITF1,13,Abruzzo
ABR,CENTRO RIABILITAZIONE  SANEX,RIA,ITF,ITF1,13,Abruzzo
ABR,CENTRO SAN VENANZIO,RIA,ITF,ITF1,13,Abruzzo
ABR,Centro Vaccinale Città Sant'Angelo Outlet Village,STS,ITF,ITF1,13,Abruzzo
ABR,Centro vaccinale Covid  Castel di Sangro,STS,ITF,ITF1,13,Abruzzo
ABR,Centro vaccinale Covid AQ Bazzano ex Tribunale,STS,ITF,ITF1,13,Abruzzo
ABR,Centro vaccinale Covid Sulmona Pal. Sport,STS,ITF,ITF1,13,Abruzzo
ABR,Centro vaccinale Covid Tagliacozzo,STS,ITF,ITF1,13,Abruzzo
ABR,Centro Vaccinale DSB Pescina,STS,ITF,ITF1,13,Abruzzo
ABR,Centro Vaccinale ex Scuola Elementare Via Fucino,STS,ITF,ITF1,13,Abruzzo
ABR,Centro Vaccinale Montesilvano,STS,ITF,ITF1,13,Abruzzo
ABR,Centro Vaccinale Penne,STS,ITF,ITF1,13,Abruzzo
ABR,Centro Vaccinale Pescara Palefiere,STS,ITF,ITF1,13,Abruzzo
ABR,Centro Vaccinale Pescara Stazione Portanuova,STS,ITF,ITF1,13,Abruzzo
ABR,CENTRO VACCINALE SAN VITTORINO,STS,ITF,ITF1,13,Abruzzo
ABR,Centro Vaccinale Spoltore,STS,ITF,ITF1,13,Abruzzo
ABR,Centro Vaccinale VAL PESCARA,STS,ITF,ITF1,13,Abruzzo
ABR,CONC S. STEFANO TERAMO,RIA,ITF,ITF1,13,Abruzzo
ABR,CONS. S. STEFANO ATRI,RIA,ITF,ITF1,13,Abruzzo
ABR,CONS. S.STEFANO ALBA ADRIATICA,RIA,ITF,ITF1,13,Abruzzo
ABR,CONS. S.STEFANO ROSETO,RIA,ITF,ITF1,13,Abruzzo
ABR,CONS. S.STEFANO S.EGIDIO,RIA,ITF,ITF1,13,Abruzzo
ABR,CONSORZIO SAN STEF.AR.,RIA,ITF,ITF1,13,Abruzzo
ABR,CONSORZIO SAN STEF.AR.,RIA,ITF,ITF1,13,Abruzzo
ABR,CONSULTORIO SAN VITO CHIETINO,STS,ITF,ITF1,13,Abruzzo
ABR,DON ORIONE,RIA,ITF,ITF1,13,Abruzzo
ABR,DSB CHIETI CENTRO,STS,ITF,ITF1,13,Abruzzo
ABR,DSB FRANCAVILLA - SEDE EROG. SAN GIOVANNI TEATINO,STS,ITF,ITF1,13,Abruzzo
ABR,DSB FRANCAVILLA AL MARE,STS,ITF,ITF1,13,Abruzzo
ABR,DSB LANCIANO,STS,ITF,ITF1,13,Abruzzo
ABR,DSB SAN SALVO,STS,ITF,ITF1,13,Abruzzo
ABR,DSB SAN SALVO - SEDE EROG. CASTIGLIONE M.M.,STS,ITF,ITF1,13,Abruzzo
ABR,DSB VASTO,STS,ITF,ITF1,13,Abruzzo
ABR,DSB VILLA SANTA MARIA,STS,ITF,ITF1,13,Abruzzo
ABR,FOND. IL CIRENEO ONLUS PER AUT,RIA,ITF,ITF1,13,Abruzzo
ABR,FOND. IST. SANTA CATERINA,RIA,ITF,ITF1,13,Abruzzo
ABR,FOND. P. A. MILENO GISSI,RIA,ITF,ITF1,13,Abruzzo
ABR,FOND. P. A. MILENO LANCIANO,RIA,ITF,ITF1,13,Abruzzo
ABR,FOND. P. A. MILENO VASTO DALM.,RIA,ITF,ITF1,13,Abruzzo
ABR,FOND. P. A. MILENO VASTO LEBBA,RIA,ITF,ITF1,13,Abruzzo
ABR,FOND. P. A. MILENO VASTO PLATO,RIA,ITF,ITF1,13,Abruzzo
