area,reg,eta,guariti_senza_somm,guariti_post_somm,guariti_post_1booster,guariti_post_2booster
ABR,Abruzzo,00-04,109,0,0,0
ABR,Abruzzo,05-11,85,0,0,0
ABR,Abruzzo,12-19,31,24,0,0
ABR,Abruzzo,20-29,12,86,0,0
ABR,Abruzzo,30-39,33,157,0,0
ABR,Abruzzo,40-49,60,220,0,0
ABR,Abruzzo,50-59,57,279,0,0
ABR,Abruzzo,60-69,40,282,977,82
ABR,Abruzzo,70-79,21,209,790,159
ABR,Abruzzo,80+,26,87,467,138
BAS,Basilicata,00-04,8,0,0,0
BAS,Basilicata,05-11,4,0,0,0
BAS,Basilicata,12-19,1,1,0,0
BAS,Basilicata,20-29,0,1,0,0
BAS,Basilicata,30-39,1,6,0,0
BAS,Basilicata,40-49,1,3,0,0
BAS,Basilicata,50-59,1,12,0,0
BAS,Basilicata,60-69,0,11,61,7
BAS,Basilicata,70-79,1,4,37,6
BAS,Basilicata,80+,3,3,62,5
CAL,Calabria,00-04,3,0,0,0
CAL,Calabria,05-11,11,0,0,0
CAL,Calabria,12-19,12,1,0,0
CAL,Calabria,20-29,1,15,0,0
CAL,Calabria,30-39,4,23,0,0
CAL,Calabria,40-49,10,25,0,0
CAL,Calabria,50-59,10,32,0,0
CAL,Calabria,60-69,3,29,176,7
CAL,Calabria,70-79,3,7,55,9
CAL,Calabria,80+,1,4,47,22
CAM,Campania,00-04,424,0,0,0
CAM,Campania,05-11,230,0,0,0
CAM,Campania,12-19,116,41,0,0
CAM,Campania,20-29,68,184,0,0
CAM,Campania,30-39,125,323,0,0
CAM,Campania,40-49,158,374,0,0
CAM,Campania,50-59,156,531,0,0
CAM,Campania,60-69,146,612,2984,299
CAM,Campania,70-79,141,552,2415,551
CAM,Campania,80+,143,153,1306,530
EMR,Emilia-Romagna,00-04,188,0,0,0
EMR,Emilia-Romagna,05-11,86,0,0,0
EMR,Emilia-Romagna,12-19,62,16,0,0
EMR,Emilia-Romagna,20-29,77,149,0,0
EMR,Emilia-Romagna,30-39,112,283,0,0
EMR,Emilia-Romagna,40-49,130,363,0,0
EMR,Emilia-Romagna,50-59,136,467,0,0
EMR,Emilia-Romagna,60-69,122,388,1860,427
EMR,Emilia-Romagna,70-79,90,393,1758,693
EMR,Emilia-Romagna,80+,102,207,1585,1232
FVG,Friuli-Venezia Giulia,00-04,42,0,0,0
FVG,Friuli-Venezia Giulia,05-11,38,0,0,0
FVG,Friuli-Venezia Giulia,12-19,6,5,0,0
FVG,Friuli-Venezia Giulia,20-29,34,37,0,0
FVG,Friuli-Venezia Giulia,30-39,42,33,0,0
FVG,Friuli-Venezia Giulia,40-49,55,55,0,0
FVG,Friuli-Venezia Giulia,50-59,88,73,0,0
FVG,Friuli-Venezia Giulia,60-69,54,66,490,75
FVG,Friuli-Venezia Giulia,70-79,46,77,431,144
FVG,Friuli-Venezia Giulia,80+,61,38,468,220
LAZ,Lazio,00-04,112,0,0,0
LAZ,Lazio,05-11,72,0,0,0
LAZ,Lazio,12-19,56,16,0,0
LAZ,Lazio,20-29,15,67,0,0
LAZ,Lazio,30-39,39,95,0,0
LAZ,Lazio,40-49,60,158,0,0
LAZ,Lazio,50-59,84,228,0,0
LAZ,Lazio,60-69,43,164,956,107
LAZ,Lazio,70-79,14,62,522,140
LAZ,Lazio,80+,10,27,258,162
LIG,Liguria,00-04,4,0,0,0
LIG,Liguria,05-11,7,0,0,0
LIG,Liguria,12-19,1,0,0,0
LIG,Liguria,20-29,1,1,0,0
LIG,Liguria,30-39,0,4,0,0
LIG,Liguria,40-49,4,10,0,0
LIG,Liguria,50-59,7,9,0,0
LIG,Liguria,60-69,4,8,36,4
LIG,Liguria,70-79,2,4,28,4
LIG,Liguria,80+,4,1,47,9
LOM,Lombardia,00-04,692,0,0,0
LOM,Lombardia,05-11,285,0,0,0
LOM,Lombardia,12-19,131,51,0,0
LOM,Lombardia,20-29,132,176,0,0
LOM,Lombardia,30-39,229,315,0,0
LOM,Lombardia,40-49,269,411,0,0
LOM,Lombardia,50-59,286,576,0,0
LOM,Lombardia,60-69,215,539,4149,627
LOM,Lombardia,70-79,199,471,3734,1071
LOM,Lombardia,80+,225,228,3167,1829
MAR,Marche,00-04,44,0,0,0
MAR,Marche,05-11,52,0,0,0
MAR,Marche,12-19,28,17,0,0
MAR,Marche,20-29,29,45,0,0
MAR,Marche,30-39,46,96,0,0
MAR,Marche,40-49,62,116,0,0
MAR,Marche,50-59,54,150,0,0
MAR,Marche,60-69,49,196,874,77
MAR,Marche,70-79,30,195,787,131
MAR,Marche,80+,48,109,766,135
MOL,Molise,00-04,6,0,0,0
MOL,Molise,05-11,8,0,0,0
MOL,Molise,12-19,3,0,0,0
MOL,Molise,20-29,0,0,0,0
MOL,Molise,30-39,3,1,0,0
MOL,Molise,40-49,4,0,0,0
MOL,Molise,50-59,5,3,0,0
MOL,Molise,60-69,3,2,76,10
MOL,Molise,70-79,3,1,40,10
MOL,Molise,80+,1,0,22,18
PAB,P.A. Bolzano,00-04,1,0,0,0
PAB,P.A. Bolzano,05-11,0,0,0,0
PAB,P.A. Bolzano,12-19,2,0,0,0
PAB,P.A. Bolzano,20-29,1,0,0,0
PAB,P.A. Bolzano,30-39,0,0,0,0
PAB,P.A. Bolzano,40-49,0,0,0,0
PAB,P.A. Bolzano,50-59,1,2,0,0
PAB,P.A. Bolzano,60-69,2,0,4,0
PAB,P.A. Bolzano,70-79,1,0,1,0
PAB,P.A. Bolzano,80+,1,1,7,3
PAT,P.A. Trento,00-04,44,0,0,0
PAT,P.A. Trento,05-11,9,0,0,0
PAT,P.A. Trento,12-19,5,5,0,0
PAT,P.A. Trento,20-29,12,10,0,0
PAT,P.A. Trento,30-39,17,5,0,0
PAT,P.A. Trento,40-49,14,14,0,0
PAT,P.A. Trento,50-59,18,31,0,0
PAT,P.A. Trento,60-69,15,27,221,33
PAT,P.A. Trento,70-79,15,23,199,31
PAT,P.A. Trento,80+,11,23,234,52
PIE,Piemonte,00-04,72,0,0,0
PIE,Piemonte,05-11,31,0,0,0
PIE,Piemonte,12-19,25,8,0,0
PIE,Piemonte,20-29,18,44,0,0
PIE,Piemonte,30-39,29,77,0,0
PIE,Piemonte,40-49,52,57,0,0
PIE,Piemonte,50-59,63,132,0,0
PIE,Piemonte,60-69,66,132,795,140
PIE,Piemonte,70-79,49,138,812,255
PIE,Piemonte,80+,64,89,932,526
PUG,Puglia,00-04,177,0,0,0
PUG,Puglia,05-11,114,0,0,0
PUG,Puglia,12-19,54,24,0,0
PUG,Puglia,20-29,37,84,0,0
PUG,Puglia,30-39,49,130,0,0
PUG,Puglia,40-49,70,184,0,0
PUG,Puglia,50-59,68,233,0,0
PUG,Puglia,60-69,44,259,1481,165
PUG,Puglia,70-79,52,233,1264,186
PUG,Puglia,80+,55,80,988,296
SAR,Sardegna,00-04,31,0,0,0
SAR,Sardegna,05-11,16,0,0,0
SAR,Sardegna,12-19,11,16,0,0
SAR,Sardegna,20-29,17,60,0,0
SAR,Sardegna,30-39,21,123,0,0
SAR,Sardegna,40-49,32,168,0,0
SAR,Sardegna,50-59,38,236,0,0
SAR,Sardegna,60-69,34,211,695,97
SAR,Sardegna,70-79,30,183,488,138
SAR,Sardegna,80+,22,45,290,89
SIC,Sicilia,00-04,30,0,0,0
SIC,Sicilia,05-11,7,0,0,0
SIC,Sicilia,12-19,9,5,0,0
SIC,Sicilia,20-29,9,25,0,0
SIC,Sicilia,30-39,7,52,0,0
SIC,Sicilia,40-49,16,57,0,0
SIC,Sicilia,50-59,15,76,0,0
SIC,Sicilia,60-69,10,78,217,14
SIC,Sicilia,70-79,12,63,158,23
SIC,Sicilia,80+,10,25,124,32
TOS,Toscana,00-04,144,0,0,0
TOS,Toscana,05-11,67,0,0,0
TOS,Toscana,12-19,32,15,0,0
TOS,Toscana,20-29,36,61,0,0
TOS,Toscana,30-39,55,138,0,0
TOS,Toscana,40-49,70,180,0,0
TOS,Toscana,50-59,73,286,0,0
TOS,Toscana,60-69,69,239,1232,183
TOS,Toscana,70-79,63,257,1170,363
TOS,Toscana,80+,64,100,990,712
UMB,Umbria,00-04,53,0,0,0
UMB,Umbria,05-11,50,0,0,0
UMB,Umbria,12-19,35,22,0,0
UMB,Umbria,20-29,11,54,0,0
UMB,Umbria,30-39,22,104,0,0
UMB,Umbria,40-49,47,134,0,0
UMB,Umbria,50-59,26,159,0,0
UMB,Umbria,60-69,49,171,722,128
UMB,Umbria,70-79,27,181,545,195
UMB,Umbria,80+,33,61,498,266
VDA,Valle d'Aosta,00-04,0,0,0,0
VDA,Valle d'Aosta,05-11,0,0,0,0
VDA,Valle d'Aosta,12-19,0,0,0,0
VDA,Valle d'Aosta,20-29,0,0,0,0
VDA,Valle d'Aosta,30-39,0,1,0,0
VDA,Valle d'Aosta,40-49,1,1,0,0
VDA,Valle d'Aosta,50-59,0,0,0,0
VDA,Valle d'Aosta,60-69,0,0,4,0
VDA,Valle d'Aosta,70-79,0,0,1,0
VDA,Valle d'Aosta,80+,0,0,1,1
VEN,Veneto,00-04,532,0,0,0
VEN,Veneto,05-11,260,0,0,0
VEN,Veneto,12-19,140,49,0,0
VEN,Veneto,20-29,129,249,0,0
VEN,Veneto,30-39,230,338,0,0
VEN,Veneto,40-49,295,454,0,0
VEN,Veneto,50-59,253,588,0,0
VEN,Veneto,60-69,199,473,2978,399
VEN,Veneto,70-79,156,460,2617,616
VEN,Veneto,80+,181,342,3101,1215
