data,forn,area,eta,m,f,d1,d2,dpi,db1,db2,db3,N1,N2,ISTAT,reg
2020-12-27,Moderna,LAZ,40-49,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI4,12.0,Lazio
2020-12-27,Moderna,SIC,90+,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,ITG,ITG1,19.0,Sicilia
2020-12-27,Pfizer/BioNTech,ABR,20-29,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,30-39,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,40-49,1.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,50-59,7.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,60-69,12.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,70-79,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,80-89,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF1,13.0,Abruzzo
2020-12-27,Pfizer/BioNTech,BAS,20-29,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2020-12-27,Pfizer/BioNTech,BAS,30-39,10.0,18.0,28.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2020-12-27,Pfizer/BioNTech,BAS,40-49,7.0,24.0,31.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2020-12-27,Pfizer/BioNTech,BAS,50-59,11.0,15.0,26.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2020-12-27,Pfizer/BioNTech,BAS,60-69,9.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF5,17.0,Basilicata
2020-12-27,Pfizer/BioNTech,CAL,20-29,18.0,42.0,60.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF6,18.0,Calabria
2020-12-27,Pfizer/BioNTech,CAL,30-39,25.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF6,18.0,Calabria
2020-12-27,Pfizer/BioNTech,CAL,40-49,25.0,32.0,57.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF6,18.0,Calabria
2020-12-27,Pfizer/BioNTech,CAL,50-59,57.0,31.0,88.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF6,18.0,Calabria
2020-12-27,Pfizer/BioNTech,CAL,60-69,46.0,18.0,64.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF6,18.0,Calabria
2020-12-27,Pfizer/BioNTech,CAM,20-29,27.0,33.0,60.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2020-12-27,Pfizer/BioNTech,CAM,30-39,61.0,64.0,125.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2020-12-27,Pfizer/BioNTech,CAM,40-49,80.0,87.0,167.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2020-12-27,Pfizer/BioNTech,CAM,50-59,119.0,77.0,196.0,0.0,0.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
2020-12-27,Pfizer/BioNTech,CAM,60-69,131.0,37.0,167.0,0.0,1.0,0.0,0.0,0.0,ITF,ITF3,15.0,Campania
