data,area,totale,m,f,d1,d2,dpi,db1,db2,db3,N1,N2,ISTAT,reg
2021-03-08,VDA,488,233,255,243,245,0,0,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-04-23,UMB,6809,2881,3928,3319,3284,206,0,0,0,ITI,ITI2,10,Umbria
2021-08-12,VDA,378,204,174,118,248,12,0,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-08-27,TOS,16475,8821,7654,7864,8061,550,0,0,0,ITI,ITI1,9,Toscana
2021-12-07,LOM,91850,41597,50253,4136,2316,430,84968,0,0,ITC,ITC4,3,Lombardia
2022-01-31,TOS,28421,14625,13796,2250,3082,265,22824,0,0,ITI,ITI1,9,Toscana
2022-05-04,MOL,133,61,72,0,9,0,20,104,0,ITF,ITF2,14,Molise
2022-09-26,MAR,438,215,223,2,11,0,47,378,0,ITI,ITI3,11,Marche
2022-11-21,PIE,5335,2589,2746,20,9,1,164,3858,1283,ITC,ITC1,1,Piemonte
2022-12-10,CAM,508,246,262,1,5,0,46,419,37,ITF,ITF3,15,Campania
2023-02-02,BAS,15,7,8,0,0,0,1,13,1,ITF,ITF5,17,Basilicata
2021-05-12,EMR,38984,18316,20668,28444,9716,824,0,0,0,ITH,ITH5,8,Emilia-Romagna
2021-08-11,MAR,7570,4098,3472,3159,4165,246,0,0,0,ITI,ITI3,11,Marche
2021-09-08,PAT,1601,806,795,501,1066,34,0,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-12-18,BAS,5257,2406,2851,204,225,20,4808,0,0,ITF,ITF5,17,Basilicata
2022-01-15,MAR,17979,8975,9004,1993,710,204,15072,0,0,ITI,ITI3,11,Marche
2022-05-24,BAS,209,80,129,3,2,0,58,146,0,ITF,ITF5,17,Basilicata
2022-07-13,CAL,1487,797,690,13,17,2,203,1252,0,ITF,ITF6,18,Calabria
2022-07-14,PUG,6264,3214,3050,51,66,8,873,5266,0,ITF,ITF4,16,Puglia
2022-11-26,LOM,9927,4733,5194,37,44,5,574,8255,1012,ITC,ITC4,3,Lombardia
2022-12-17,CAL,354,181,173,0,0,0,15,304,35,ITF,ITF6,18,Calabria
2022-12-18,PUG,63,30,33,0,0,0,6,49,8,ITF,ITF4,16,Puglia
2021-02-25,UMB,1379,519,860,1313,56,10,0,0,0,ITI,ITI2,10,Umbria
2021-05-04,VDA,1136,511,625,455,674,7,0,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-07-20,FVG,9207,4819,4388,2355,6529,323,0,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-09-06,PUG,21983,11564,10419,7218,13784,981,0,0,0,ITF,ITF4,16,Puglia
2021-10-08,VDA,372,181,191,221,110,40,1,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-11-01,CAL,652,371,281,117,324,8,203,0,0,ITF,ITF6,18,Calabria
2021-12-05,TOS,16752,7618,9134,1369,662,167,14554,0,0,ITI,ITI1,9,Toscana
2022-01-21,EMR,44854,22890,21964,2763,2887,299,38905,0,0,ITH,ITH5,8,Emilia-Romagna
2022-03-08,MOL,266,143,123,7,91,1,165,2,0,ITF,ITF2,14,Molise
2022-08-12,MOL,94,41,53,0,1,0,18,75,0,ITF,ITF2,14,Molise
2022-09-01,CAM,840,480,360,6,15,1,130,688,0,ITF,ITF3,15,Campania
2023-02-05,CAM,11,3,8,0,0,0,0,10,1,ITF,ITF3,15,Campania
2021-02-01,EMR,10336,3622,6714,355,9979,2,0,0,0,ITH,ITH5,8,Emilia-Romagna
2021-06-15,MAR,13201,6575,6626,9817,3052,332,0,0,0,ITI,ITI3,11,Marche
2021-10-22,BAS,957,459,498,178,411,33,335,0,0,ITF,ITF5,17,Basilicata
2021-11-19,MAR,7188,3252,3936,557,845,44,5742,0,0,ITI,ITI3,11,Marche
2022-03-28,BAS,456,258,198,12,29,1,408,6,0,ITF,ITF5,17,Basilicata
2022-08-18,LOM,4460,2014,2446,60,63,5,632,3700,0,ITC,ITC4,3,Lombardia
2022-10-21,CAL,724,355,369,4,4,2,56,634,24,ITF,ITF6,18,Calabria
2022-10-22,PUG,810,361,449,3,3,0,90,685,29,ITF,ITF4,16,Puglia
2023-01-22,LOM,206,102,104,0,0,0,11,154,41,ITC,ITC4,3,Lombardia
2023-03-27,CAL,3,2,1,0,0,0,0,3,0,ITF,ITF6,18,Calabria
2021-03-11,UMB,3755,1834,1921,2703,1028,24,0,0,0,ITI,ITI2,10,Umbria
2021-07-11,PUG,12235,5778,6457,2556,9570,109,0,0,0,ITF,ITF4,16,Puglia
2021-08-08,LAZ,50562,26175,24387,17988,31664,910,0,0,0,ITI,ITI4,12,Lazio
2021-10-09,TOS,11238,6020,5218,2765,7484,403,586,0,0,ITI,ITI1,9,Toscana
2021-12-15,PUG,47498,22373,25125,1892,1784,195,43627,0,0,ITF,ITF4,16,Puglia
2022-03-19,EMR,6264,3381,2883,283,1019,42,4728,192,0,ITH,ITH5,8,Emilia-Romagna
2022-06-16,MOL,74,35,39,2,0,1,9,62,0,ITF,ITF2,14,Molise
2022-08-14,MAR,21,9,12,0,0,0,2,19,0,ITI,ITI3,11,Marche
2022-10-28,CAM,2311,1197,1114,3,12,1,272,1936,87,ITF,ITF3,15,Campania
2022-12-21,BAS,84,45,39,1,0,0,5,71,7,ITF,ITF5,17,Basilicata
2023-01-18,MAR,610,322,288,12,3,0,48,465,82,ITI,ITI3,11,Marche
2021-01-28,TOS,6291,1885,4406,355,5934,2,0,0,0,ITI,ITI1,9,Toscana
2021-05-01,MOL,2687,1287,1400,409,2244,34,0,0,0,ITF,ITF2,14,Molise
2021-07-27,PAT,4941,2602,2339,1808,2989,144,0,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-12-31,PAT,1212,611,601,80,104,11,1017,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2022-02-28,UMB,1542,757,785,48,572,15,907,0,0,ITI,ITI2,10,Umbria
2022-10-14,LOM,16979,7816,9163,63,48,4,930,15911,23,ITC,ITC4,3,Lombardia
2021-04-16,LAZ,34708,15825,18883,21940,12296,472,0,0,0,ITI,ITI4,12,Lazio
2021-06-21,EMR,37628,19023,18605,16043,20916,669,0,0,0,ITH,ITH5,8,Emilia-Romagna
2021-12-28,CAL,21048,9960,11088,1547,1424,100,17977,0,0,ITF,ITF6,18,Calabria
2022-04-08,PUG,1829,977,852,90,234,9,1374,122,0,ITF,ITF4,16,Puglia
2022-05-13,LOM,7118,2735,4383,91,203,75,1932,4817,0,ITC,ITC4,3,Lombardia
2022-10-08,MOL,172,80,92,1,2,0,7,162,0,ITF,ITF2,14,Molise
2022-12-17,SAR,489,249,240,1,1,0,47,390,50,ITG,ITG2,20,Sardegna
2021-04-18,CAL,5905,2822,3083,4955,926,24,0,0,0,ITF,ITF6,18,Calabria
2021-11-06,UMB,2870,1382,1488,222,733,21,1894,0,0,ITI,ITI2,10,Umbria
2022-01-27,MOL,3036,1506,1530,139,1478,5,1414,0,0,ITF,ITF2,14,Molise
2022-03-12,PIE,5403,2785,2618,230,1540,34,3057,542,0,ITC,ITC1,1,Piemonte
2022-03-12,TOS,5152,2701,2451,188,786,41,3971,166,0,ITI,ITI1,9,Toscana
2022-05-27,CAM,1800,802,998,39,93,12,726,930,0,ITF,ITF3,15,Campania
2022-12-10,SIC,992,484,508,1,0,0,71,843,77,ITG,ITG1,19,Sicilia
2023-01-10,EMR,3013,1466,1547,21,24,0,215,2036,717,ITH,ITH5,8,Emilia-Romagna
2023-03-09,ABR,16,6,10,2,0,0,0,12,2,ITF,ITF1,13,Abruzzo
2023-06-06,PIE,66,34,32,1,0,0,5,36,24,ITC,ITC1,1,Piemonte
2021-04-08,BAS,789,361,428,769,10,10,0,0,0,ITF,ITF5,17,Basilicata
2021-07-01,TOS,32120,15549,16571,10631,21115,374,0,0,0,ITI,ITI1,9,Toscana
2022-02-02,LOM,63038,33379,29659,2898,8936,177,51027,0,0,ITC,ITC4,3,Lombardia
2022-02-24,MAR,2900,1464,1436,161,694,17,2028,0,0,ITI,ITI3,11,Marche
2022-04-07,CAL,805,392,413,48,141,3,581,32,0,ITF,ITF6,18,Calabria
2023-04-29,LOM,84,44,40,2,0,0,13,45,24,ITC,ITC4,3,Lombardia
2023-06-23,PIE,25,13,12,0,0,0,1,8,16,ITC,ITC1,1,Piemonte
2021-01-27,VDA,157,75,82,81,76,0,0,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-02-06,PAT,597,312,285,449,148,0,0,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-03-26,TOS,20765,9442,11323,14738,5835,192,0,0,0,ITI,ITI1,9,Toscana
2021-06-27,MOL,2392,1130,1262,1143,1238,11,0,0,0,ITF,ITF2,14,Molise
2021-07-08,EMR,41380,20613,20767,4679,36255,446,0,0,0,ITH,ITH5,8,Emilia-Romagna
2022-02-16,CAM,16220,7941,8279,1400,5773,102,8945,0,0,ITF,ITF3,15,Campania
2022-04-23,VDA,127,69,58,4,5,0,80,38,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2022-06-20,TOS,770,336,434,19,32,18,426,275,0,ITI,ITI1,9,Toscana
2022-09-21,MOL,56,32,24,3,5,0,1,47,0,ITF,ITF2,14,Molise
2022-10-02,EMR,9,4,5,0,0,0,1,6,2,ITH,ITH5,8,Emilia-Romagna
2023-03-20,SIC,59,24,35,0,0,0,7,28,24,ITG,ITG1,19,Sicilia
2021-04-20,VDA,940,432,508,737,196,7,0,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-04-22,BAS,5065,2362,2703,3387,1631,47,0,0,0,ITF,ITF5,17,Basilicata
2021-08-15,UMB,4464,2424,2040,2920,1393,151,0,0,0,ITI,ITI2,10,Umbria
2021-10-13,EMR,15987,8598,7389,4446,6356,315,4870,0,0,ITH,ITH5,8,Emilia-Romagna
2022-01-10,MOL,2901,1424,1477,134,181,10,2576,0,0,ITF,ITF2,14,Molise
2022-02-09,PAT,2130,1069,1061,140,531,12,1447,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2022-04-21,CAL,856,458,398,38,117,3,491,207,0,ITF,ITF6,18,Calabria
2022-11-09,UMB,570,272,298,2,3,0,40,482,43,ITI,ITI2,10,Umbria
2023-03-15,PIE,908,446,462,11,4,0,27,446,420,ITC,ITC1,1,Piemonte
2021-01-23,LAZ,7235,2877,4358,601,6633,1,0,0,0,ITI,ITI4,12,Lazio
2021-03-30,EMR,23368,10346,13022,17963,5046,359,0,0,0,ITH,ITH5,8,Emilia-Romagna
2021-10-05,MOL,1497,705,792,97,179,5,1216,0,0,ITF,ITF2,14,Molise
2021-12-03,MAR,13404,5947,7457,1015,571,81,11737,0,0,ITI,ITI3,11,Marche
2022-03-22,PUG,3095,1612,1483,110,487,14,2283,201,0,ITF,ITF4,16,Puglia
2022-04-11,BAS,204,107,97,12,21,0,152,19,0,ITF,ITF5,17,Basilicata
2022-04-19,LAZ,3704,1896,1808,99,319,16,1380,1890,0,ITI,ITI4,12,Lazio
2022-06-24,EMR,1859,802,1057,18,46,17,489,1289,0,ITH,ITH5,8,Emilia-Romagna
